CNM23.SG,A50ÆÚ»õ2306,,,,,
time,open,high,low,close,volume,oi
2023-03-01 09:00,,,,,0.0000,1046.0000
2023-03-01 09:01,,,,,0.0000,1046.0000
2023-03-01 09:02,,,,,0.0000,1046.0000
2023-03-01 09:03,,,,,0.0000,1046.0000
2023-03-01 09:04,,,,,0.0000,1046.0000
2023-03-01 09:05,,,,,0.0000,1046.0000
2023-03-01 09:06,,,,,0.0000,1046.0000
2023-03-01 09:07,,,,,0.0000,1046.0000
2023-03-01 09:08,,,,,0.0000,1046.0000
2023-03-01 09:09,,,,,0.0000,1046.0000
2023-03-01 09:10,,,,,0.0000,1046.0000
2023-03-01 09:11,,,,,0.0000,1046.0000
2023-03-01 09:12,,,,,0.0000,1046.0000
2023-03-01 09:13,,,,,0.0000,1046.0000
2023-03-01 09:14,,,,,0.0000,1046.0000
2023-03-01 09:15,,,,,0.0000,1046.0000
2023-03-01 09:16,,,,,0.0000,1046.0000
2023-03-01 09:17,,,,,0.0000,1046.0000
2023-03-01 09:18,,,,,0.0000,1046.0000
2023-03-01 09:19,,,,,0.0000,1046.0000
2023-03-01 09:20,,,,,0.0000,1046.0000
2023-03-01 09:21,,,,,0.0000,1046.0000
2023-03-01 09:22,,,,,0.0000,1046.0000
2023-03-01 09:23,,,,,0.0000,1046.0000
2023-03-01 09:24,,,,,0.0000,1046.0000
2023-03-01 09:25,,,,,0.0000,1046.0000
2023-03-01 09:26,,,,,0.0000,1046.0000
2023-03-01 09:27,,,,,0.0000,1046.0000
2023-03-01 09:28,,,,,0.0000,1046.0000
2023-03-01 09:29,,,,,0.0000,1046.0000
2023-03-01 09:30,,,,,0.0000,1046.0000
2023-03-01 09:31,,,,,0.0000,1046.0000
2023-03-01 09:32,,,,,0.0000,1046.0000
2023-03-01 09:33,,,,,0.0000,1046.0000
2023-03-01 09:34,,,,,0.0000,1046.0000
2023-03-01 09:35,,,,,0.0000,1046.0000
2023-03-01 09:36,,,,,0.0000,1046.0000
2023-03-01 09:37,,,,,0.0000,1046.0000
2023-03-01 09:38,,,,,0.0000,1046.0000
2023-03-01 09:39,,,,,0.0000,1046.0000
2023-03-01 09:40,,,,,0.0000,1046.0000
2023-03-01 09:41,,,,,0.0000,1046.0000
2023-03-01 09:42,,,,,0.0000,1046.0000
2023-03-01 09:43,,,,,0.0000,1046.0000
2023-03-01 09:44,,,,,0.0000,1046.0000
2023-03-01 09:45,,,,,0.0000,1046.0000
2023-03-01 09:46,,,,,0.0000,1046.0000
2023-03-01 09:47,,,,,0.0000,1046.0000
2023-03-01 09:48,,,,,0.0000,1046.0000
2023-03-01 09:49,,,,,0.0000,1046.0000
2023-03-01 09:50,,,,,0.0000,1046.0000
2023-03-01 09:51,,,,,0.0000,1046.0000
2023-03-01 09:52,,,,,0.0000,1046.0000
2023-03-01 09:53,,,,,0.0000,1046.0000
2023-03-01 09:54,,,,,0.0000,1046.0000
2023-03-01 09:55,,,,,0.0000,1046.0000
2023-03-01 09:56,,,,,0.0000,1046.0000
2023-03-01 09:57,,,,,0.0000,1046.0000
2023-03-01 09:58,,,,,0.0000,1046.0000
2023-03-01 09:59,13500.0000,13500.0000,13500.0000,13500.0000,1.0000,1046.0000
2023-03-01 10:00,,,,,0.0000,1046.0000
2023-03-01 10:01,,,,,0.0000,1046.0000
2023-03-01 10:02,,,,,0.0000,1046.0000
2023-03-01 10:03,,,,,0.0000,1046.0000
2023-03-01 10:04,,,,,0.0000,1046.0000
2023-03-01 10:05,,,,,0.0000,1046.0000
2023-03-01 10:06,,,,,0.0000,1046.0000
2023-03-01 10:07,,,,,0.0000,1046.0000
2023-03-01 10:08,,,,,0.0000,1046.0000
2023-03-01 10:09,,,,,0.0000,1046.0000
2023-03-01 10:10,,,,,0.0000,1046.0000
2023-03-01 10:11,,,,,0.0000,1046.0000
2023-03-01 10:12,13570.0000,13570.0000,13570.0000,13570.0000,1.0000,1046.0000
2023-03-01 10:13,13593.0000,13601.0000,13591.0000,13601.0000,105.0000,1046.0000
2023-03-01 10:14,13605.0000,13634.0000,13589.0000,13589.0000,193.0000,1046.0000
2023-03-01 10:15,13587.0000,13590.0000,13587.0000,13590.0000,25.0000,1046.0000
2023-03-01 10:16,13595.0000,13609.0000,13594.0000,13609.0000,205.0000,1046.0000
2023-03-01 10:17,13609.0000,13609.0000,13584.0000,13584.0000,90.0000,1046.0000
2023-03-01 10:18,,,,,0.0000,1046.0000
2023-03-01 10:19,,,,,0.0000,1046.0000
2023-03-01 10:20,,,,,0.0000,1046.0000
2023-03-01 10:21,,,,,0.0000,1046.0000
2023-03-01 10:22,13584.0000,13584.0000,13584.0000,13584.0000,25.0000,1046.0000
2023-03-01 10:23,,,,,0.0000,1046.0000
2023-03-01 10:24,13570.0000,13570.0000,13570.0000,13570.0000,3.0000,1046.0000
2023-03-01 10:25,13567.0000,13567.0000,13567.0000,13567.0000,2.0000,1046.0000
2023-03-01 10:26,,,,,0.0000,1046.0000
2023-03-01 10:27,,,,,0.0000,1046.0000
2023-03-01 10:28,,,,,0.0000,1046.0000
2023-03-01 10:29,,,,,0.0000,1046.0000
2023-03-01 10:30,,,,,0.0000,1046.0000
2023-03-01 10:31,,,,,0.0000,1046.0000
2023-03-01 10:32,,,,,0.0000,1046.0000
2023-03-01 10:33,,,,,0.0000,1046.0000
2023-03-01 10:34,,,,,0.0000,1046.0000
2023-03-01 10:35,,,,,0.0000,1046.0000
2023-03-01 10:36,,,,,0.0000,1046.0000
2023-03-01 10:37,,,,,0.0000,1046.0000
2023-03-01 10:38,,,,,0.0000,1046.0000
2023-03-01 10:39,,,,,0.0000,1046.0000
2023-03-01 10:40,,,,,0.0000,1046.0000
2023-03-01 10:41,,,,,0.0000,1046.0000
2023-03-01 10:42,,,,,0.0000,1046.0000
2023-03-01 10:43,,,,,0.0000,1046.0000
2023-03-01 10:44,,,,,0.0000,1046.0000
2023-03-01 10:45,,,,,0.0000,1046.0000
2023-03-01 10:46,,,,,0.0000,1046.0000
2023-03-01 10:47,,,,,0.0000,1046.0000
2023-03-01 10:48,,,,,0.0000,1046.0000
2023-03-01 10:49,,,,,0.0000,1046.0000
2023-03-01 10:50,,,,,0.0000,1046.0000
2023-03-01 10:51,,,,,0.0000,1046.0000
2023-03-01 10:52,,,,,0.0000,1046.0000
2023-03-01 10:53,,,,,0.0000,1046.0000
2023-03-01 10:54,,,,,0.0000,1046.0000
2023-03-01 10:55,,,,,0.0000,1046.0000
2023-03-01 10:56,,,,,0.0000,1046.0000
2023-03-01 10:57,,,,,0.0000,1046.0000
2023-03-01 10:58,,,,,0.0000,1046.0000
2023-03-01 10:59,,,,,0.0000,1046.0000
2023-03-01 11:00,,,,,0.0000,1046.0000
2023-03-01 11:01,,,,,0.0000,1046.0000
2023-03-01 11:02,13567.0000,13567.0000,13567.0000,13567.0000,25.0000,1046.0000
2023-03-01 11:03,,,,,0.0000,1046.0000
2023-03-01 11:04,,,,,0.0000,1046.0000
2023-03-01 11:05,,,,,0.0000,1046.0000
2023-03-01 11:06,,,,,0.0000,1046.0000
2023-03-01 11:07,,,,,0.0000,1046.0000
2023-03-01 11:08,,,,,0.0000,1046.0000
2023-03-01 11:09,13617.0000,13617.0000,13617.0000,13617.0000,1.0000,1046.0000
2023-03-01 11:10,,,,,0.0000,1046.0000
2023-03-01 11:11,13612.0000,13612.0000,13612.0000,13612.0000,3.0000,1046.0000
2023-03-01 11:12,13612.0000,13612.0000,13612.0000,13612.0000,4.0000,1046.0000
2023-03-01 11:13,13610.0000,13610.0000,13609.0000,13609.0000,6.0000,1046.0000
2023-03-01 11:14,,,,,0.0000,1046.0000
2023-03-01 11:15,,,,,0.0000,1046.0000
2023-03-01 11:16,,,,,0.0000,1046.0000
2023-03-01 11:17,,,,,0.0000,1046.0000
2023-03-01 11:18,,,,,0.0000,1046.0000
2023-03-01 11:19,,,,,0.0000,1046.0000
2023-03-01 11:20,,,,,0.0000,1046.0000
2023-03-01 11:21,,,,,0.0000,1046.0000
2023-03-01 11:22,,,,,0.0000,1046.0000
2023-03-01 11:23,,,,,0.0000,1046.0000
2023-03-01 11:24,,,,,0.0000,1046.0000
2023-03-01 11:25,,,,,0.0000,1046.0000
2023-03-01 11:26,,,,,0.0000,1046.0000
2023-03-01 11:27,,,,,0.0000,1046.0000
2023-03-01 11:28,,,,,0.0000,1046.0000
2023-03-01 11:29,,,,,0.0000,1046.0000
2023-03-01 11:30,,,,,0.0000,1046.0000
2023-03-01 11:31,,,,,0.0000,1046.0000
2023-03-01 11:32,,,,,0.0000,1046.0000
2023-03-01 11:33,,,,,0.0000,1046.0000
2023-03-01 11:34,,,,,0.0000,1046.0000
2023-03-01 11:35,,,,,0.0000,1046.0000
2023-03-01 11:36,,,,,0.0000,1046.0000
2023-03-01 11:37,,,,,0.0000,1046.0000
2023-03-01 11:38,,,,,0.0000,1046.0000
2023-03-01 11:39,,,,,0.0000,1046.0000
2023-03-01 11:40,,,,,0.0000,1046.0000
2023-03-01 11:41,,,,,0.0000,1046.0000
2023-03-01 11:42,,,,,0.0000,1046.0000
2023-03-01 11:43,,,,,0.0000,1046.0000
2023-03-01 11:44,,,,,0.0000,1046.0000
2023-03-01 11:45,,,,,0.0000,1046.0000
2023-03-01 11:46,,,,,0.0000,1046.0000
2023-03-01 11:47,,,,,0.0000,1046.0000
2023-03-01 11:48,13641.0000,13641.0000,13641.0000,13641.0000,5.0000,1046.0000
2023-03-01 11:49,13641.0000,13641.0000,13641.0000,13641.0000,5.0000,1046.0000
2023-03-01 11:50,,,,,0.0000,1046.0000
2023-03-01 11:51,,,,,0.0000,1046.0000
2023-03-01 11:52,,,,,0.0000,1046.0000
2023-03-01 11:53,,,,,0.0000,1046.0000
2023-03-01 11:54,,,,,0.0000,1046.0000
2023-03-01 11:55,,,,,0.0000,1046.0000
2023-03-01 11:56,,,,,0.0000,1046.0000
2023-03-01 11:57,,,,,0.0000,1046.0000
2023-03-01 11:58,,,,,0.0000,1046.0000
2023-03-01 11:59,13641.0000,13641.0000,13641.0000,13641.0000,1.0000,1046.0000
2023-03-01 12:00,,,,,0.0000,1046.0000
2023-03-01 12:01,,,,,0.0000,1046.0000
2023-03-01 12:02,,,,,0.0000,1046.0000
2023-03-01 12:03,,,,,0.0000,1046.0000
2023-03-01 12:04,,,,,0.0000,1046.0000
2023-03-01 12:05,,,,,0.0000,1046.0000
2023-03-01 12:06,,,,,0.0000,1046.0000
2023-03-01 12:07,,,,,0.0000,1046.0000
2023-03-01 12:08,,,,,0.0000,1046.0000
2023-03-01 12:09,,,,,0.0000,1046.0000
2023-03-01 12:10,,,,,0.0000,1046.0000
2023-03-01 12:11,,,,,0.0000,1046.0000
2023-03-01 12:12,,,,,0.0000,1046.0000
2023-03-01 12:13,,,,,0.0000,1046.0000
2023-03-01 12:14,,,,,0.0000,1046.0000
2023-03-01 12:15,13648.0000,13648.0000,13648.0000,13648.0000,2.0000,1046.0000
2023-03-01 12:16,,,,,0.0000,1046.0000
2023-03-01 12:17,,,,,0.0000,1046.0000
2023-03-01 12:18,,,,,0.0000,1046.0000
2023-03-01 12:19,,,,,0.0000,1046.0000
2023-03-01 12:20,,,,,0.0000,1046.0000
2023-03-01 12:21,,,,,0.0000,1046.0000
2023-03-01 12:22,,,,,0.0000,1046.0000
2023-03-01 12:23,,,,,0.0000,1046.0000
2023-03-01 12:24,,,,,0.0000,1046.0000
2023-03-01 12:25,13640.0000,13640.0000,13640.0000,13640.0000,10.0000,1046.0000
2023-03-01 12:26,,,,,0.0000,1046.0000
2023-03-01 12:27,,,,,0.0000,1046.0000
2023-03-01 12:28,,,,,0.0000,1046.0000
2023-03-01 12:29,,,,,0.0000,1046.0000
2023-03-01 12:30,,,,,0.0000,1046.0000
2023-03-01 12:31,,,,,0.0000,1046.0000
2023-03-01 12:32,,,,,0.0000,1046.0000
2023-03-01 12:33,13651.0000,13651.0000,13651.0000,13651.0000,2.0000,1046.0000
2023-03-01 12:34,13651.0000,13651.0000,13651.0000,13651.0000,3.0000,1046.0000
2023-03-01 12:35,,,,,0.0000,1046.0000
2023-03-01 12:36,,,,,0.0000,1046.0000
2023-03-01 12:37,,,,,0.0000,1046.0000
2023-03-01 12:38,,,,,0.0000,1046.0000
2023-03-01 12:39,,,,,0.0000,1046.0000
2023-03-01 12:40,,,,,0.0000,1046.0000
2023-03-01 12:41,,,,,0.0000,1046.0000
2023-03-01 12:42,13651.0000,13651.0000,13651.0000,13651.0000,16.0000,1046.0000
2023-03-01 12:43,13651.0000,13651.0000,13651.0000,13651.0000,9.0000,1046.0000
2023-03-01 12:44,,,,,0.0000,1046.0000
2023-03-01 12:45,,,,,0.0000,1046.0000
2023-03-01 12:46,,,,,0.0000,1046.0000
2023-03-01 12:47,,,,,0.0000,1046.0000
2023-03-01 12:48,,,,,0.0000,1046.0000
2023-03-01 12:49,,,,,0.0000,1046.0000
2023-03-01 12:50,,,,,0.0000,1046.0000
2023-03-01 12:51,,,,,0.0000,1046.0000
2023-03-01 12:52,,,,,0.0000,1046.0000
2023-03-01 12:53,,,,,0.0000,1046.0000
2023-03-01 12:54,,,,,0.0000,1046.0000
2023-03-01 12:55,,,,,0.0000,1046.0000
2023-03-01 12:56,,,,,0.0000,1046.0000
2023-03-01 12:57,,,,,0.0000,1046.0000
2023-03-01 12:58,,,,,0.0000,1046.0000
2023-03-01 12:59,,,,,0.0000,1046.0000
2023-03-01 13:00,13651.0000,13651.0000,13651.0000,13651.0000,1.0000,1046.0000
2023-03-01 13:01,13653.0000,13668.0000,13653.0000,13668.0000,6.0000,1046.0000
2023-03-01 13:02,,,,,0.0000,1046.0000
2023-03-01 13:03,,,,,0.0000,1046.0000
2023-03-01 13:04,,,,,0.0000,1046.0000
2023-03-01 13:05,,,,,0.0000,1046.0000
2023-03-01 13:06,,,,,0.0000,1046.0000
2023-03-01 13:07,,,,,0.0000,1046.0000
2023-03-01 13:08,,,,,0.0000,1046.0000
2023-03-01 13:09,13620.0000,13620.0000,13620.0000,13620.0000,1.0000,1046.0000
2023-03-01 13:10,,,,,0.0000,1046.0000
2023-03-01 13:11,,,,,0.0000,1046.0000
2023-03-01 13:12,,,,,0.0000,1046.0000
2023-03-01 13:13,,,,,0.0000,1046.0000
2023-03-01 13:14,,,,,0.0000,1046.0000
2023-03-01 13:15,13650.0000,13650.0000,13650.0000,13650.0000,1.0000,1046.0000
2023-03-01 13:16,,,,,0.0000,1046.0000
2023-03-01 13:17,,,,,0.0000,1046.0000
2023-03-01 13:18,,,,,0.0000,1046.0000
2023-03-01 13:19,,,,,0.0000,1046.0000
2023-03-01 13:20,,,,,0.0000,1046.0000
2023-03-01 13:21,,,,,0.0000,1046.0000
2023-03-01 13:22,,,,,0.0000,1046.0000
2023-03-01 13:23,,,,,0.0000,1046.0000
2023-03-01 13:24,,,,,0.0000,1046.0000
2023-03-01 13:25,,,,,0.0000,1046.0000
2023-03-01 13:26,,,,,0.0000,1046.0000
2023-03-01 13:27,,,,,0.0000,1046.0000
2023-03-01 13:28,,,,,0.0000,1046.0000
2023-03-01 13:29,,,,,0.0000,1046.0000
2023-03-01 13:30,,,,,0.0000,1046.0000
2023-03-01 13:31,,,,,0.0000,1046.0000
2023-03-01 13:32,,,,,0.0000,1046.0000
2023-03-01 13:33,,,,,0.0000,1046.0000
2023-03-01 13:34,,,,,0.0000,1046.0000
2023-03-01 13:35,,,,,0.0000,1046.0000
2023-03-01 13:36,13572.0000,13572.0000,13572.0000,13572.0000,1.0000,1046.0000
2023-03-01 13:37,,,,,0.0000,1046.0000
2023-03-01 13:38,,,,,0.0000,1046.0000
2023-03-01 13:39,,,,,0.0000,1046.0000
2023-03-01 13:40,,,,,0.0000,1046.0000
2023-03-01 13:41,,,,,0.0000,1046.0000
2023-03-01 13:42,,,,,0.0000,1046.0000
2023-03-01 13:43,,,,,0.0000,1046.0000
2023-03-01 13:44,,,,,0.0000,1046.0000
2023-03-01 13:45,,,,,0.0000,1046.0000
2023-03-01 13:46,,,,,0.0000,1046.0000
2023-03-01 13:47,,,,,0.0000,1046.0000
2023-03-01 13:48,,,,,0.0000,1046.0000
2023-03-01 13:49,,,,,0.0000,1046.0000
2023-03-01 13:50,,,,,0.0000,1046.0000
2023-03-01 13:51,,,,,0.0000,1046.0000
2023-03-01 13:52,,,,,0.0000,1046.0000
2023-03-01 13:53,,,,,0.0000,1046.0000
2023-03-01 13:54,,,,,0.0000,1046.0000
2023-03-01 13:55,,,,,0.0000,1046.0000
2023-03-01 13:56,,,,,0.0000,1046.0000
2023-03-01 13:57,,,,,0.0000,1046.0000
2023-03-01 13:58,,,,,0.0000,1046.0000
2023-03-01 13:59,,,,,0.0000,1046.0000
2023-03-01 14:00,13594.0000,13594.0000,13594.0000,13594.0000,1.0000,1046.0000
2023-03-01 14:01,,,,,0.0000,1046.0000
2023-03-01 14:02,,,,,0.0000,1046.0000
2023-03-01 14:03,,,,,0.0000,1046.0000
2023-03-01 14:04,,,,,0.0000,1046.0000
2023-03-01 14:05,,,,,0.0000,1046.0000
2023-03-01 14:06,,,,,0.0000,1046.0000
2023-03-01 14:07,,,,,0.0000,1046.0000
2023-03-01 14:08,13594.0000,13594.0000,13594.0000,13594.0000,20.0000,1046.0000
2023-03-01 14:09,,,,,0.0000,1046.0000
2023-03-01 14:10,,,,,0.0000,1046.0000
2023-03-01 14:11,,,,,0.0000,1046.0000
2023-03-01 14:12,,,,,0.0000,1046.0000
2023-03-01 14:13,,,,,0.0000,1046.0000
2023-03-01 14:14,,,,,0.0000,1046.0000
2023-03-01 14:15,,,,,0.0000,1046.0000
2023-03-01 14:16,,,,,0.0000,1046.0000
2023-03-01 14:17,,,,,0.0000,1046.0000
2023-03-01 14:18,,,,,0.0000,1046.0000
2023-03-01 14:19,,,,,0.0000,1046.0000
2023-03-01 14:20,,,,,0.0000,1046.0000
2023-03-01 14:21,,,,,0.0000,1046.0000
2023-03-01 14:22,,,,,0.0000,1046.0000
2023-03-01 14:23,,,,,0.0000,1046.0000
2023-03-01 14:24,,,,,0.0000,1046.0000
2023-03-01 14:25,,,,,0.0000,1046.0000
2023-03-01 14:26,,,,,0.0000,1046.0000
2023-03-01 14:27,,,,,0.0000,1046.0000
2023-03-01 14:28,,,,,0.0000,1046.0000
2023-03-01 14:29,,,,,0.0000,1046.0000
2023-03-01 14:30,,,,,0.0000,1046.0000
2023-03-01 14:31,,,,,0.0000,1046.0000
2023-03-01 14:32,,,,,0.0000,1046.0000
2023-03-01 14:33,,,,,0.0000,1046.0000
2023-03-01 14:34,,,,,0.0000,1046.0000
2023-03-01 14:35,,,,,0.0000,1046.0000
2023-03-01 14:36,,,,,0.0000,1046.0000
2023-03-01 14:37,,,,,0.0000,1046.0000
2023-03-01 14:38,,,,,0.0000,1046.0000
2023-03-01 14:39,,,,,0.0000,1046.0000
2023-03-01 14:40,,,,,0.0000,1046.0000
2023-03-01 14:41,,,,,0.0000,1046.0000
2023-03-01 14:42,,,,,0.0000,1046.0000
2023-03-01 14:43,,,,,0.0000,1046.0000
2023-03-01 14:44,,,,,0.0000,1046.0000
2023-03-01 14:45,,,,,0.0000,1046.0000
2023-03-01 14:46,,,,,0.0000,1046.0000
2023-03-01 14:47,,,,,0.0000,1046.0000
2023-03-01 14:48,,,,,0.0000,1046.0000
2023-03-01 14:49,,,,,0.0000,1046.0000
2023-03-01 14:50,,,,,0.0000,1046.0000
2023-03-01 14:51,,,,,0.0000,1046.0000
2023-03-01 14:52,,,,,0.0000,1046.0000
2023-03-01 14:53,,,,,0.0000,1046.0000
2023-03-01 14:54,,,,,0.0000,1046.0000
2023-03-01 14:55,,,,,0.0000,1046.0000
2023-03-01 14:56,,,,,0.0000,1046.0000
2023-03-01 14:57,,,,,0.0000,1046.0000
2023-03-01 14:58,,,,,0.0000,1046.0000
2023-03-01 14:59,,,,,0.0000,1046.0000
2023-03-01 15:00,,,,,0.0000,1046.0000
2023-03-01 15:01,,,,,0.0000,1046.0000
2023-03-01 15:02,,,,,0.0000,1046.0000
2023-03-01 15:03,,,,,0.0000,1046.0000
2023-03-01 15:04,,,,,0.0000,1046.0000
2023-03-01 15:05,,,,,0.0000,1046.0000
2023-03-01 15:06,,,,,0.0000,1046.0000
2023-03-01 15:07,,,,,0.0000,1046.0000
2023-03-01 15:08,,,,,0.0000,1046.0000
2023-03-01 15:09,,,,,0.0000,1046.0000
2023-03-01 15:10,,,,,0.0000,1046.0000
2023-03-01 15:11,,,,,0.0000,1046.0000
2023-03-01 15:12,,,,,0.0000,1046.0000
2023-03-01 15:13,,,,,0.0000,1046.0000
2023-03-01 15:14,,,,,0.0000,1046.0000
2023-03-01 15:15,,,,,0.0000,1046.0000
2023-03-01 15:16,,,,,0.0000,1046.0000
2023-03-01 15:17,,,,,0.0000,1046.0000
2023-03-01 15:18,,,,,0.0000,1046.0000
2023-03-01 15:19,,,,,0.0000,1046.0000
2023-03-01 15:20,,,,,0.0000,1046.0000
2023-03-01 15:21,,,,,0.0000,1046.0000
2023-03-01 15:22,,,,,0.0000,1046.0000
2023-03-01 15:23,,,,,0.0000,1046.0000
2023-03-01 15:24,,,,,0.0000,1046.0000
2023-03-01 15:25,,,,,0.0000,1046.0000
2023-03-01 15:26,,,,,0.0000,1046.0000
2023-03-01 15:27,,,,,0.0000,1046.0000
2023-03-01 15:28,,,,,0.0000,1046.0000
2023-03-01 15:29,,,,,0.0000,1046.0000
2023-03-01 15:30,,,,,0.0000,1046.0000
2023-03-01 15:31,,,,,0.0000,1046.0000
2023-03-01 15:32,,,,,0.0000,1046.0000
2023-03-01 15:33,,,,,0.0000,1046.0000
2023-03-01 15:34,,,,,0.0000,1046.0000
2023-03-01 15:35,,,,,0.0000,1046.0000
2023-03-01 15:36,,,,,0.0000,1046.0000
2023-03-01 15:37,,,,,0.0000,1046.0000
2023-03-01 15:38,,,,,0.0000,1046.0000
2023-03-01 15:39,,,,,0.0000,1046.0000
2023-03-01 15:40,,,,,0.0000,1046.0000
2023-03-01 15:41,,,,,0.0000,1046.0000
2023-03-01 15:42,,,,,0.0000,1046.0000
2023-03-01 15:43,,,,,0.0000,1046.0000
2023-03-01 15:44,,,,,0.0000,1046.0000
2023-03-01 15:45,,,,,0.0000,1046.0000
2023-03-01 15:46,,,,,0.0000,1046.0000
2023-03-01 15:47,,,,,0.0000,1046.0000
2023-03-01 15:48,,,,,0.0000,1046.0000
2023-03-01 15:49,,,,,0.0000,1046.0000
2023-03-01 15:50,,,,,0.0000,1046.0000
2023-03-01 15:51,,,,,0.0000,1046.0000
2023-03-01 15:52,,,,,0.0000,1046.0000
2023-03-01 15:53,,,,,0.0000,1046.0000
2023-03-01 15:54,,,,,0.0000,1046.0000
2023-03-01 15:55,,,,,0.0000,1046.0000
2023-03-01 15:56,,,,,0.0000,1046.0000
2023-03-01 15:57,,,,,0.0000,1046.0000
2023-03-01 15:58,,,,,0.0000,1046.0000
2023-03-01 15:59,,,,,0.0000,1046.0000
2023-03-01 16:00,,,,,0.0000,1046.0000
2023-03-01 16:01,,,,,0.0000,1046.0000
2023-03-01 16:02,,,,,0.0000,1046.0000
2023-03-01 16:03,13631.0000,13631.0000,13631.0000,13631.0000,1.0000,1046.0000
2023-03-01 16:04,,,,,0.0000,1046.0000
2023-03-01 16:05,,,,,0.0000,1046.0000
2023-03-01 16:06,,,,,0.0000,1046.0000
2023-03-01 16:07,,,,,0.0000,1046.0000
2023-03-01 16:08,,,,,0.0000,1046.0000
2023-03-01 16:09,,,,,0.0000,1046.0000
2023-03-01 16:10,,,,,0.0000,1046.0000
2023-03-01 16:11,,,,,0.0000,1046.0000
2023-03-01 16:12,,,,,0.0000,1046.0000
2023-03-01 16:13,,,,,0.0000,1046.0000
2023-03-01 16:14,,,,,0.0000,1046.0000
2023-03-01 16:15,,,,,0.0000,1046.0000
2023-03-01 16:16,,,,,0.0000,1046.0000
2023-03-01 16:17,,,,,0.0000,1046.0000
2023-03-01 16:18,,,,,0.0000,1046.0000
2023-03-01 16:19,,,,,0.0000,1046.0000
2023-03-01 16:20,,,,,0.0000,1046.0000
